Species,Catalog_num,SVL,Head.width,extant
Bolitoglossa_rostrata,,8.64,60.86,1
Bolitoglossa_cuchumatana,,7.95,53.07,1
Bolitoglossa_helmrichi,,6.55,40.39,1
Bolitoglossa_helmrichi,,7.05,46.5,1
Bolitoglossa_helmrichi,,6.93,44.24,1
Bolitoglossa_alvaradoi,,6.31,41.46,1
Bolitoglossa_dofleini,,5.68,33.15,1
Bolitoglossa_lincolni,,12.4,82.96,1
Bolitoglossa_lincolni,,9.42,55.55,1
Bolitoglossa_lincolni,,11.1,80.48,1
Bolitoglossa_lincolni,,9.28,52.58,1
Bolitoglossa_franklini,,8.37,52.66,1
Bolitoglossa_franklini,,11.23,72.76,1
Bolitoglossa_franklini,,9.52,60.5,1
Bolitoglossa_franklini,,8.76,53.13,1
Bolitoglossa_franklini,,9.06,55.75,1
Bolitoglossa_decora,,9.56,59.6,1
Bolitoglossa_morio,,9.7,66.46,1
Bolitoglossa_morio,,8.36,56.66,1
Bolitoglossa_morio,,8.21,47.41,1
Bolitoglossa_morio,,6.9,44.98,1
Bolitoglossa_heiroreias,,7.9,50.46,1
Notophthalmus_crassus,,NA,NA,0
Notophthalmus_robustus,,NA,NA,0
Carpathotriton_matraensis,,NA,NA,0
Ommatriton_roehrsi,,NA,NA,0
Triturus_aff.marmoratus,,NA,NA,0
Lissotriton_aff.helveticus,,NA,NA,0
Procynops_miocenicus,,NA,NA,0
Pseudobranchus_vetustus,,NA,NA,0
Siren_simpsoni,,NA,NA,0
Siren_miotexana,,NA,NA,0
Siren_hesterna,,NA,NA,0
Siren_dunni,,NA,NA,0
Paleoamphiuma_tetradactylum,FMNHPR1810,200,NA,0
Habrosaurus_dilatus,,NA,NA,0
Habrosaurus_prodilatus,,NA,NA,0
Kababisha_humarensis,,NA,NA,0
Kababisha_sudanensis,,NA,NA,0
Kababisha_cf.kabab,,NA,NA,0
Noterpeton_bolivianum,,NA,NA,0
Beiyanerpeton_jianpingensis,PKUPV0601,101,38.38,0
Archaeotriton_basalticus,MMGD Hw 97,50.3,6.1,0
Brachycormus_noachicus,PIUB Ro 4429,23.11,7.26,0
Chelotriton_paradoxus,PW2010/5000-LS,80.8,29.71,0
Chelotriton_robustus,,NA,NA,0
Chelotriton_weigelti,,NA,NA,0
Ichthyosaura_randeckensis,SMNS 95461,24.06,6.99,0
Ichthyosaura_wintershofi,,NA,NA,0
Mioproteus_caucasicus,,NA,NA,0
Orthophyia_longa,,NA,NA,0
Necturus_krausei,,NA,NA,0
Valdotriton_gracilis,LH 928061a-b,35.23333333,10.13666667,0
Apricosiren_ensomi,,NA,NA,0
Liaoxitriton_daohugouensis,IVPPV13393,75.2,20.64,0
Liaoxitriton_zhongjiani,,NA,NA,0
Palaeopleurodeles_hauffi,,NA,NA,0
Pleurodeles_cf.waltl,,NA,NA,0
Salamandra_sansaniensis,,NA,NA,0
Chioglossa_meini,,NA,NA,0
Opithisthotriton_kayi,UALVP16274,188,14.1,0
Semniobatrachus_boltishki,PIN3991/14,38.2,10.4,0
Qinglongtriton_gangouensis,PKUPV0226,142.97,40.15,0
Palaeoplethodon_hispaniolae,AM-3-15,9,1.3,0
Celtedens_ibericus,LH6020,51,7.5,0
Taricha_oligocenica,UOMNF59812AB,62,13,0
Taricha_lindoei,UOMNHF38883,54,11,0
Andrias_scheuchzeri,,387,86,0
Andrias_matthewi,,NA,NA,0
Zaissanurus_beliajevae,,NA,NA,0
Aviturus_exsecratus,,NA,NA,0
Ukrainurus_hypsognathus,,NA,NA,0
cfCryptobranchus_saskatchewanensis,,NA,NA,0
Eoscapherpeton_superum,,NA,NA,0
Horezmia_gracilis,,NA,NA,0
Jeholotriton_paradoxus,0012B,59.2,16.18,0
Pangerpeton_sinensis,IVPPV14244,36.4,12.9,0
Regalerpeton_weichangensis,IVPPV14391,60,27.69,0
Chunerpeton_tianyiensis,CAGSIG02051,80.8,25.91,0
Dicamptodon_antiquus,UALVP32387,NA,15,0
Iridotriton_hechti,DINO16453ab,55,NA,0
Koaliella_genzeli,,NA,NA,0
Phosphotriton_sigei,MNHNFQU17755,NA,NA,0
Amphiuma_jepseni,,NA,NA,0
Proamphiuma_cretacea,MCZ3504,NA,NA,0
Ambystoma_gfs,Unk,NA,NA,0
Ambystoma_minshalli,,NA,NA,0
Kokartus_honorarius,ZINPH4/47,NA,NA,0
Karaurus_sharovi,PIN2585/2,125.92,58.78,0
Marmorerpeton_kermacki,,NA,NA,0
Marmorerpeton_freemani,,NA,NA,0
Urupia_monstrosa,ZINph1/144,NA,NA,0
Scapherpeton_tectum,,NA,NA,0
Lisserpeton_bairdi,,NA,NA,0
Piceoerpeton_naylori,,NA,NA,0
Piceoerpeton_wilwoodense,,NA,NA,0
Batrachosauroides_gotoi,,NA,NA,0
Batrachosauroides_dissimulans,,NA,NA,0
Palaeoproteus_gallicus,,NA,NA,0
Palaeoproteus_klatti,,NA,NA,0
Prodesmodon_copei,,NA,NA,0
Peratosauroides_problematica,,NA,NA,0
Parrisia_neocaesariensis,,NA,NA,0
Hylaeobatrachus_croyi,,NA,NA,0
Nesovtriton_mynbulakensis,,NA,NA,0
Kiyatriton_leshchinsktyi,,NA,NA,0
Laccotriton_subsolanus,GMV1602,48.3,13.48,0
Sinerpeton_fengshanensis,GMV1606,41.81,13.82,0
Parahynobius_kordosi,,NA,NA,0
Gerobatrachus_hottoni,USNM489135,69.25,27,0
Ranodon_cf.sibiricus,,NA,NA,0
Salamandrella_sp.,ZIN PH 1/181,NA,NA,0
Nuominerpeton_aquilonaris,PKUPV0421,77.61,23,0
